,dnoregion,shortname,regionid,forecast,index,fuel,perc
0,Scottish Hydro Electric Power Distribution,North Scotland,1,69,low,"'gas', 'nuclear', 'solar', 'hydro', 'biomass', 'other', 'imports', 'wind', 'coal'","0, 17.5, 59.8, 22.7"
1,SP Distribution,South Scotland,2,39,very low,"'gas', 'nuclear', 'solar', 'hydro', 'biomass', 'other', 'imports', 'wind', 'coal'","0.6, 0, 3.5, 4.6, 4.4, 36.6, 50.3"
2,Electricity North West,North West England,3,42,very low,"'gas', 'nuclear', 'solar', 'hydro', 'biomass', 'other', 'imports', 'wind', 'coal'","0.7, 0, 2.9, 0.9, 39.3, 9.2, 47"
3,NPG North East,North East England,4,34,very low,"'gas', 'nuclear', 'solar', 'hydro', 'biomass', 'other', 'imports', 'wind', 'coal'","0, 1.8, 2.2, 37.5, 10.9, 19, 28.6"
4,NPG Yorkshire,Yorkshire,5,100,low,"'gas', 'nuclear', 'solar', 'hydro', 'biomass', 'other', 'imports', 'wind', 'coal'","0, 0.5, 8, 9.7, 43.1, 11.5, 27.3"
5,SP Manweb,North Wales & Merseyside,6,32,very low,"'gas', 'nuclear', 'solar', 'hydro', 'biomass', 'other', 'imports', 'wind', 'coal'","0.4, 0, 2, 1.3, 69.8, 6.2, 20.2"
6,WPD South Wales,South Wales,7,287,high,"'gas', 'nuclear', 'solar', 'hydro', 'biomass', 'other', 'imports', 'wind', 'coal'","0, 27.2, 72.8"
7,WPD West Midlands,West Midlands,8,84,low,"'gas', 'nuclear', 'solar', 'hydro', 'biomass', 'other', 'imports', 'wind', 'coal'","0.8, 0.1, 2.1, 0, 0.9, 19.5, 51.9, 24.8"
8,WPD East Midlands,East Midlands,9,209,moderate,"'gas', 'nuclear', 'solar', 'hydro', 'biomass', 'other', 'imports', 'wind', 'coal'","0, 0.3, 5.2, 6.6, 7.1, 28.1, 24, 28.6"
9,UKPN East,East England,10,251,high,"'gas', 'nuclear', 'solar', 'hydro', 'biomass', 'other', 'imports', 'wind', 'coal'","0, 32.3, 0.1, 9.9, 27.9, 29.8"
10,WPD South West,South West England,11,145,moderate,"'gas', 'nuclear', 'solar', 'hydro', 'biomass', 'other', 'imports', 'wind', 'coal'","0, 16.1, 36.9, 47"
11,SSE South,South England,12,251,high,"'gas', 'nuclear', 'solar', 'hydro', 'biomass', 'other', 'imports', 'wind', 'coal'","0.9, 0, 0.5, 3.3, 6, 12.3, 21, 56"
12,UKPN London,London,13,235,high,"'gas', 'nuclear', 'solar', 'hydro', 'biomass', 'other', 'imports', 'wind', 'coal'","0, 0.9, 38.4, 39.7, 6.7, 14.3"
13,UKPN South East,South East England,14,230,high,"'gas', 'nuclear', 'solar', 'hydro', 'biomass', 'other', 'imports', 'wind', 'coal'","0, 1.7, 0.1, 4.3, 46.5, 47.4"
14,England,England,15,160,moderate,"'gas', 'nuclear', 'solar', 'hydro', 'biomass', 'other', 'imports', 'wind', 'coal'","0, 1.2, 8.1, 14.1, 19.5, 27.9, 28"
15,Scotland,Scotland,16,42,very low,"'gas', 'nuclear', 'solar', 'hydro', 'biomass', 'other', 'imports', 'wind', 'coal'","0.6, 0, 4.2, 5.3, 5.9, 52.6, 31.3"
16,Wales,Wales,17,167,moderate,"'gas', 'nuclear', 'solar', 'hydro', 'biomass', 'other', 'imports', 'wind', 'coal'","0.1, 0, 1, 3.2, 5.5, 41.3, 49"
17,GB,GB,18,150,moderate,"'gas', 'nuclear', 'solar', 'hydro', 'biomass', 'other', 'imports', 'wind', 'coal'","0, 1, 1.7, 6.9, 12.4, 19.7, 26.6, 31.7"
